title,publisher,print_issn,e_issn,for_code,year_inception,abdc_2025
Personality and Social Psychology Bulletin,Sage Publications,0146-1672,1552-7433,3507,1974,A*
Sociology,Sage Publications,0038-0385,1469-8684,3507,1967,A*
The Leadership Quarterly,Elsevier,1048-9843,1873-3409,3507,1990,A*
Academy of Management Perspectives,Academy of Management,1558-9080,1943-4529,3507,1987,A
Acta Psychologica,Elsevier,0001-6918,1873-6297,3507,1936,A
"Alternatives: global, local, political",Sage Publications,0304-3754,2163-3150,3507,1974,A
Annals of Operations Research,Springer International Publishing,0254-5330,1572-9338,3507,1984,A
Applied Psychology: An International Review,Wiley-Blackwell Publishing,0269-994X,1464-0597,3507,1952,A
Asia Pacific Journal of Management,Springer International Publishing,0217-4561,1572-9958,3507,1983,A
British Journal of Social Psychology,Wiley-Blackwell Publishing,0144-6665,2044-8309,3507,1962,A
British Journal of Sociology,Wiley-Blackwell Publishing,0007-1315,1468-4446,3507,1950,A
Business Ethics Quarterly,Cambridge University Press,1052-150X,2153-3326,3507,1991,A
Business Strategy and the Environment,Wiley-Blackwell Publishing,0964-4733,1099-0836,3507,1992,A
Business and Society,Sage Publications,0007-6503,1552-4205,3507,1960,A
California Management Review,Sage Publications,0008-1256,2162-8564,3507,1958,A
Corporate Governance: an international review,Wiley-Blackwell Publishing,0964-8410,1467-8683,3507,1993,A
Educational and Psychological Measurement,Sage Publications,0013-1644,1552-3888,3507,1941,A
Entrepreneurship and Regional Development,Taylor & Francis Online,0898-5626,1464-5114,3507,1989,A
"Ethics: an international journal of social, political, and legal philosophy",The University of Chicago Press,0014-1704,1539-297X,3507,1888,A
European Journal of Personality,Sage Publications,0890-2070,1099-0984,3507,1987,A
European Journal of Social Psychology,Wiley-Blackwell Publishing,0046-2772,1099-0992,3507,1971,A
European Journal of Work and Organizational Psychology,Taylor & Francis Online,1359-432X,1464-0643,3507,1991,A
European Management Journal,Elsevier,0263-2373,1873-5681,3507,1982,A
Family Business Review,Sage Publications,0894-4865,1741-6248,3507,1988,A
Global Journal of Flexible Systems Management,Springer Nature,0972-2696,0974-0198,3507,2000,A
Global Strategy Journal,Wiley-Blackwell Publishing,2042-5791,2042-5805,3507,,A
Group & Organization Management,Sage Publications,1059-6011,1552-3993,3507,1976,A
Harvard Business Review,Harvard Business Publishing,0017-8012,,3507,1922,A
Health Care Management Review,Lippincott Williams & Wilkins,0361-6274,1550-5030,3507,1976,A
Human Performance,Taylor & Francis Online,0895-9285,1532-7043,3507,1988,A
Industrial and Corporate Change,Oxford University Press,0960-6491,1464-3650,3507,1992,A
Industry and Innovation,Taylor & Francis Online,1366-2716,1469-8390,3507,1993,A
International Business Review,Elsevier,0969-5931,1873-6149,3507,1992,A
International Journal of Entrepreneurial Behaviour and Research,Emerald Group Publishing,1355-2554,1758-6534,3507,1995,A
International Journal of Operations & Production Management,Emerald Group Publishing,0144-3577,1758-6593,3507,1980,A
International Journal of Production Economics,Elsevier,0925-5273,1873-7579,3507,1976,A
International Journal of Production Research,Taylor & Francis Online,0020-7543,1366-588X,3507,1961,A
International Journal of Stress Management,American Psychological Association,1072-5245,1573-3424,3507,1994,A
International Small Business Journal,Sage Publications,0266-2426,1741-2870,3507,1982,A
Journal of Business Ethics,Springer International Publishing,0167-4544,1573-0697,3507,1982,A
Journal of Business Venturing Insights,Elsevier,2352-6734,,3507,2014,A
Journal of Business and Psychology,Springer International Publishing,0889-3268,1573-353X,3507,1986,A
Journal of Cross-Cultural Psychology,Sage Publications,0022-0221,1552-5422,3507,1970,A
Journal of Experimental Psychology: Applied,American Psychological Association,1076-898X,1939-2192,3507,1995,A
"Journal of Experimental Psychology: learning, memory, and cognition",American Psychological Association,0278-7393,1939-1285,3507,1975,A
Journal of Experimental Social Psychology,Elsevier,0022-1031,1096-0465,3507,1965,A
Journal of International Management,Elsevier,1075-4253,1873-0620,3507,1995,A
Journal of Leadership and Organizational Studies,Sage Publications,1548-0518,1939-7089,3507,1993,A
Journal of Management & Organization,Cambridge University Press,1833-3672,1839-3527,3507,1995,A
Journal of Management Inquiry,Sage Publications,1056-4926,1552-6542,3507,1992,A
Journal of Management in Engineering,American Society of Civil Engineers,0742-597X,1943-5479,3507,1985,A
Journal of Occupational Health Psychology,American Psychological Association,1076-8998,1939-1307,3507,1996,A
Journal of Optimization Theory and Applications,Springer International Publishing,0022-3239,1573-2878,3507,1967,A
Journal of Personality,Wiley-Blackwell Publishing,0022-3506,1467-6494,3507,1932,A
Journal of Policy Analysis and Management,Wiley-Blackwell Publishing,0276-8739,1520-6688,3507,1981,A
Journal of Service Management,Emerald Group Publishing,1757-5818,1757-5826,3507,1990,A
Journal of Small Business Management,Taylor & Francis Online,0047-2778,1540-627X,3507,1963,A
Journal of Social Issues,Wiley-Blackwell Publishing,0022-4537,1540-4560,3507,1944,A
Journal of Social Policy,Cambridge University Press,0047-2794,1469-7823,3507,1972,A
Journal of Technology Transfer,Springer International Publishing,0892-9912,1573-7047,3507,1976,A
Journal of the Operational Research Society,Springer International Publishing,0160-5682,1476-9360,3507,1950,A
MIT Sloan Management Review,MIT Press,1532-9194,1532-8937,3507,1960,A
Management International Review,Springer International Publishing,0938-8249,1861-8901,3507,1961,A
Management Learning,Sage Publications,1350-5076,1461-7307,3507,1970,A
Management and Organization Review,Cambridge University Press,1740-8776,1740-8784,3507,2004,A
Nonprofit and Voluntary Sector Quarterly,Sage Publications,0899-7640,1552-7395,3507,1972,A
Organization,Sage Publications,1350-5084,1461-7323,3507,1994,A
Organization & Environment,Sage Publications,1086-0266,1552-7417,3507,1987,A
Organization Theory,Sage Publications,2631-7877,2631-7877,3507,2020,A
Organizational Dynamics,Elsevier,0090-2616,1873-3530,3507,1972,A
Organizational Psychology Review,Sage Publications,2041-3866,2041-3874,3507,2011,A
Personality and Individual Differences,Elsevier,0191-8869,1873-3549,3507,1980,A
Production Planning and Control,Taylor & Francis Online,0953-7287,1366-5871,3507,1990,A
Psychological Research,Springer International Publishing,0340-0727,1430-2772,3507,1921,A
Psychology of Women Quarterly,Sage Publications,0361-6843,1471-6402,3507,1976,A
Public Management Review,Taylor & Francis Online,1471-9037,1471-9045,3507,1999,A
Public Money & Management,Taylor & Francis Online,0954-0962,1467-9302,3507,1981,A
Quarterly Journal of Experimental Psychology,Sage Publications,1747-0218,1747-0226,3507,1948,A
R&D Management,Wiley-Blackwell Publishing,0033-6807,1467-9310,3507,1970,A
Research in Organizational Behavior,Elsevier,0191-3085,,3507,1979,A
Review of Managerial Science,Springer Nature,1863-6691,1863-6683,3507,2007,A
Sex Roles,Springer International Publishing,0360-0025,1573-2762,3507,1975,A
Small Business Economics,Springer International Publishing,0921-898X,1573-0913,3507,1989,A
Small Group Research,Sage Publications,1046-4964,1552-8278,3507,1969,A
Social Forces,Oxford University Press,0037-7732,1534-7605,3507,1925,A
Social Problems,Oxford University Press,0037-7791,1533-8533,3507,1953,A
Sociological Inquiry,Wiley-Blackwell Publishing,,1475-682X,3507,1930,A
Sociological Methodology,Sage Publications,0081-1750,1467-9531,3507,1969,A
Sociological Theory,Sage Publications,0735-2751,1467-9558,3507,1983,A
Strategic Organization,Sage Publications,1476-1270,1741-315X,3507,2003,A
Stress and Health,Wiley-Blackwell Publishing,1532-3005,1532-2998,3507,1985,A
Structural Equation Modelling: A Multidisciplinary Journal,Taylor & Francis Online,1070-5511,1532-8007,3507,1994,A
Technovation,Elsevier,0166-4972,1879-2383,3507,1981,A
The Sociological Review,Sage Publications,0038-0261,1467-954X,3507,1908,A
Annals of Tourism Research,Elsevier,0160-7383,1873-7722,3508,1973,A*
Journal of Hospitality and Tourism Management,Elsevier,1447-6770,1839-5260,3508,1994,A*
Journal of Sustainable Tourism,Taylor & Francis Online,0966-9582,1747-7646,3508,1993,A*
Journal of Travel Research,Sage Publications,0047-2875,1552-6763,3508,1962,A*
Tourism Management,Elsevier,0261-5177,1879-3193,3508,1983,A*
Tourism Management Perspectives,Elsevier,2211-9736,,3508,2012,A*
Asia Pacific Journal of Tourism Research,Taylor & Francis Online,1094-1665,1741-6507,3508,1996,A
Current Issues in Tourism,Taylor & Francis Online,1368-3500,1747-7603,3508,1998,A
Event Management,Cognizant Communication Corporation,1525-9951,1943-4308,3508,1993,A
Information Technology & Tourism,Springer International Publishing,1098-3058,1943-4294,3508,1998,A
International Journal of Tourism Research,Wiley-Blackwell Publishing,1099-2340,1522-1970,3508,1998,A
Journal of Destination Marketing & Management,Elsevier,2212-571X,2212-5752,3508,2012,A
Journal of Hospitality and Tourism Research,Sage Publications,1096-3480,1557-7554,3508,1976,A
Journal of Travel & Tourism Marketing,Taylor & Francis Online,1054-8408,1540-7306,3508,1992,A
Journal of Vacation Marketing,Sage Publications,1356-7667,1479-1870,3508,1995,A
Scandinavian Journal of Hospitality and Tourism,Taylor & Francis Online,1502-2250,1502-2269,3508,2001,A
Tourism Analysis,Cognizant Communication Corporation,1083-5423,1943-3999,3508,1996,A
Tourism Economics,Sage Publications,1354-8166,2044-0375,3508,1995,A
Tourism Geographies,Taylor & Francis Online,1461-6688,1470-1340,3508,1999,A
Tourism Planning & Development,Taylor & Francis Online,2156-8316,2156-8324,3508,2004,A
Tourism Recreation Research,Taylor & Francis Online,0250-8281,2320-0308,3508,1976,A
Tourism Review,Emerald Group Publishing,1660-5373,1759-8451,3508,2001,A
Visitor Studies,Taylor & Francis Online,1064-5578,1934-7715,3508,1988,A
