title,publisher,print_issn,e_issn,for_code,year_inception,abdc_2025
British Journal of Management,Wiley-Blackwell Publishing,1045-3172,1467-8551,3507,1990,A*
British Journal of Mathematical and Statistical Psychology,Wiley-Blackwell Publishing,0007-1102,2044-8317,4905,1947,B
British Journal of Political Science,Cambridge University Press,0007-1234,1469-2112,3599,1971,A*
British Journal of Social Psychology,Wiley-Blackwell Publishing,0144-6665,2044-8309,3507,1962,A
British Journal of Sociology,Wiley-Blackwell Publishing,0007-1315,1468-4446,3507,1950,A
British Tax Review,Sweet & Maxwell,0007-1870,,4801,1956,A*
Brookings Papers on Economic Activity,Brookings Institutions,0007-2303,1533-4465,3801,1970,A
Brussels Economic Review,Universite libre de Bruxelles,0008-0195,,3801,1958,C
Building Research and Information,Taylor & Francis Online,0961-3218,1466-4321,3599,1970,A
Built Environment Project and Asset Management,Emerald Group Publishing,2044-124X,2044-1258,3599,2011,B
Bulletin for International Taxation,International Bureau of Fiscal Documentation,1819-5490,2352-9202,4801,1946,B
Bulletin of Applied Economics,Risk Market Journals,2056-3728,2056-3736,3801,2014,C
Bulletin of Comparative Labour Relations,Wolters Kluwer,0770-3724,,3505,1975,C
Bulletin of Economic Research,Wiley-Blackwell Publishing,0307-3378,1467-8586,3801,1948,B
